==================================================================
BACKTEST: dial + SVI engine vs benchmarks
==================================================================
  Start: 2004-06-30   Tolerance: 4/5
  Costs: 0.05% round-trip per trade

  Rebalance dates: 266 (2004-06-30 -> 2026-07-31)
  SVI: 1500 steps, 2000 draws per rebalance
  [###################################---------------]  70.7%  2020-01-31  port=$   34,536  dial=0.35  ETA=46.3m
  [###################################---------------]  71.1%  2020-02-28  port=$   32,336  dial=0.66  ETA=45.7m
  [###################################---------------]  71.4%  2020-03-31  port=$   34,034  dial=0.91  ETA=45.2m
  [###################################---------------]  71.8%  2020-04-30  port=$   34,709  dial=0.75  ETA=44.6m
  [####################################--------------]  72.2%  2020-05-29  port=$   35,220  dial=0.74  ETA=44.0m
  [####################################--------------]  72.6%  2020-06-30  port=$   37,027  dial=0.58  ETA=43.4m
  [####################################--------------]  72.9%  2020-07-31  port=$   38,249  dial=0.45  ETA=42.8m
  [####################################--------------]  73.3%  2020-08-31  port=$   37,327  dial=0.51  ETA=42.2m
  [####################################--------------]  73.7%  2020-09-30  port=$   36,593  dial=0.49  ETA=41.6m
  [#####################################-------------]  74.1%  2020-10-30  port=$   38,788  dial=0.66  ETA=41.0m
  [#####################################-------------]  74.4%  2020-11-30  port=$   40,290  dial=0.46  ETA=40.5m
  [#####################################-------------]  74.8%  2020-12-31  port=$   40,060  dial=0.42  ETA=39.9m
  [#####################################-------------]  75.2%  2021-01-29  port=$   40,391  dial=0.43  ETA=39.3m
  [#####################################-------------]  75.6%  2021-02-26  port=$   41,124  dial=0.30  ETA=38.7m
  [#####################################-------------]  75.9%  2021-03-31  port=$   42,740  dial=0.34  ETA=38.1m
  [######################################------------]  76.3%  2021-04-30  port=$   43,590  dial=0.35  ETA=37.5m
  [######################################------------]  76.7%  2021-05-28  port=$   43,992  dial=0.39  ETA=36.9m
  [######################################------------]  77.1%  2021-06-30  port=$   44,709  dial=0.30  ETA=36.4m
  [######################################------------]  77.4%  2021-07-30  port=$   45,655  dial=0.43  ETA=35.8m
  [######################################------------]  77.8%  2021-08-31  port=$   44,021  dial=0.22  ETA=35.2m
  [#######################################-----------]  78.2%  2021-09-30  port=$   45,870  dial=0.47  ETA=34.6m
  [#######################################-----------]  78.6%  2021-10-29  port=$   44,942  dial=0.21  ETA=34.0m
  [#######################################-----------]  78.9%  2021-11-30  port=$   46,331  dial=0.47  ETA=33.4m
  [#######################################-----------]  79.3%  2021-12-31  port=$   44,585  dial=0.38  ETA=32.8m
  [#######################################-----------]  79.7%  2022-01-31  port=$   44,075  dial=0.61  ETA=32.2m
  [########################################----------]  80.1%  2022-02-28  port=$   44,114  dial=0.63  ETA=31.6m
  [########################################----------]  80.5%  2022-03-31  port=$   40,886  dial=0.52  ETA=31.0m
  [########################################----------]  80.8%  2022-04-29  port=$   40,856  dial=0.72  ETA=30.4m
  [########################################----------]  81.2%  2022-05-31  port=$   38,630  dial=0.54  ETA=29.9m
  [########################################----------]  81.6%  2022-06-30  port=$   39,914  dial=0.74  ETA=29.3m
  [########################################----------]  82.0%  2022-07-29  port=$   38,491  dial=0.70  ETA=28.7m
  [#########################################---------]  82.3%  2022-08-31  port=$   35,931  dial=0.68  ETA=28.1m
  [#########################################---------]  82.7%  2022-09-30  port=$   36,488  dial=0.70  ETA=27.5m
  [#########################################---------]  83.1%  2022-10-31  port=$   39,189  dial=0.55  ETA=26.9m
  [#########################################---------]  83.5%  2022-11-30  port=$   38,038  dial=0.51  ETA=26.3m
  [#########################################---------]  83.8%  2022-12-30  port=$   40,199  dial=0.57  ETA=25.7m
  [##########################################--------]  84.2%  2023-01-31  port=$   38,675  dial=0.51  ETA=25.1m
  [##########################################--------]  84.6%  2023-02-28  port=$   39,683  dial=0.56  ETA=24.5m
  [##########################################--------]  85.0%  2023-03-31  port=$   40,192  dial=0.50  ETA=23.9m
  [##########################################--------]  85.3%  2023-04-28  port=$   39,628  dial=0.48  ETA=23.3m
  [##########################################--------]  85.7%  2023-05-31  port=$   40,901  dial=0.54  ETA=22.7m
  [###########################################-------]  86.1%  2023-06-30  port=$   42,028  dial=0.24  ETA=22.1m
  [###########################################-------]  86.5%  2023-07-31  port=$   40,980  dial=0.23  ETA=21.5m
  [###########################################-------]  86.8%  2023-08-31  port=$   39,380  dial=0.20  ETA=20.9m
  [###########################################-------]  87.2%  2023-09-29  port=$   38,572  dial=0.38  ETA=20.3m
  [###########################################-------]  87.6%  2023-10-31  port=$   41,494  dial=0.51  ETA=19.7m
  [###########################################-------]  88.0%  2023-11-30  port=$   43,433  dial=0.37  ETA=19.1m
  [############################################------]  88.3%  2023-12-29  port=$   43,581  dial=0.32  ETA=18.5m
